year,day,participant,input,language,mean,stddev,median,user,system,min,max
2023,15,kcen,input-kcen,python,0.019003837123116887,0.0007949378098067188,0.018813817740000002,0.015773018701298703,0.003132792207792207,0.017837069740000003,0.022156821740000002
2023,15,lanjian,input-kcen,rust,0.0012984761999999994,0.0001947544193994748,0.00132843574,0.0011548499999999994,0.000167145,0.00043384174,0.0018493597400000002
2023,15,mattcl,input-kcen,rust,0.0012413601950000003,0.00015361388323750072,0.00125995674,0.0011230300000000003,0.00015846499999999997,0.00045379974000000014,0.0017118117400000002
2023,15,mattcl-py,input-kcen,python,0.020115973526206896,0.0006276311040022966,0.019989606740000002,0.01702782344827586,0.0029764965517241376,0.019046351740000002,0.02330161274
2023,15,pting,input-kcen,python,0.018399118991612902,0.0008352388071870551,0.018167668740000004,0.01520758451612903,0.0030875096774193554,0.01744254174,0.021461981740000004
2023,15,kcen,input-lanjian,python,0.018966561069113933,0.0008002493729191997,0.018746040740000004,0.01613125164556963,0.0027225886075949363,0.01764362774,0.02222002974
2023,15,lanjian,input-lanjian,rust,0.0012805351149999993,0.00015819871134954816,0.00129609524,0.0011561400000000002,0.00016344500000000002,0.0007482397400000001,0.0015977987400000002
2023,15,mattcl,input-lanjian,rust,0.0012226240700000004,0.00018295277640185414,0.00124407224,0.0010398628000000002,0.000215615,0.00043195774000000004,0.0017209097400000001
2023,15,mattcl-py,input-lanjian,python,0.02020105239753424,0.0006735021779109701,0.020008066240000004,0.016605117260273975,0.0034708287671232877,0.019293304740000003,0.023088945740000002
2023,15,pting,input-lanjian,python,0.018791262316923074,0.0025025136912078926,0.018444004740000002,0.015521623846153845,0.0029805384615384607,0.017217630740000003,0.04827745774
2023,15,kcen,input-mattcl,python,0.018811010483589744,0.0005817472606867747,0.018707508740000003,0.01579579692307693,0.002923583333333332,0.01789439774,0.021748637740000003
2023,15,lanjian,input-mattcl,rust,0.0012767616450000002,0.00016833863471599797,0.00130586824,0.0010913749999999997,0.00022488499999999997,0.00069100274,0.0018465847400000002
2023,15,mattcl,input-mattcl,rust,0.00120766861,0.00016434985370069634,0.00121886024,0.0010507149999999994,0.00019766,0.00053500174,0.0016671497400000002
2023,15,mattcl-py,input-mattcl,python,0.02018365464066224,0.0007299504163551271,0.02002506374,0.01660848158940397,0.0034670132450331146,0.018764194740000004,0.023587067740000002
2023,15,pting,input-mattcl,python,0.018446827552903226,0.0006962765986500522,0.018334349740000002,0.014944836129032255,0.003377593548387098,0.01738560474,0.021590020740000004
2023,15,kcen,input-pting,python,0.019004320195128203,0.0017736732381985689,0.018685767740000005,0.015503982820512815,0.00326198076923077,0.017693812740000002,0.03923172474
2023,15,lanjian,input-pting,rust,0.0012696688249999998,0.00020964287298957815,0.0012626327400000002,0.0010825500000000005,0.00021240499999999993,0.00045824774000000014,0.00212169874
2023,15,mattcl,input-pting,rust,0.00145961502,0.004897671787568197,0.00119541624,0.0009228656,0.00023394999999999997,0.00030846674000000005,0.07028743374
2023,15,mattcl-py,input-pting,python,0.020212348467891147,0.0007270432685393285,0.020054918740000004,0.017149631564625838,0.002970925170068027,0.019078661740000002,0.023114773740000004
2023,15,pting,input-pting,python,0.018406994768169028,0.0007699058815567477,0.018206610740000004,0.01465121295774648,0.003635978873239436,0.01739874074,0.02138278274
