year,day,participant,input,language,mean,stddev,median,user,system,min,max
2023,13,kcen,input-kcen,python,0.020126158820000004,0.0007932998256976068,0.019916818000000003,0.016775039999999998,0.003228486666666666,0.018814356,0.022887184
2023,13,lanjian,input-kcen,rust,0.001063628145,0.0002462720932833945,0.0009963605000000001,0.0021648445999999997,0.0006389999999999998,0.0007145540000000002,0.0018012960000000004
2023,13,mattcl,input-kcen,rust,0.0009231576099999996,0.00021530001595377633,0.0008593990000000002,0.0020509483,0.0005732949999999998,0.0006112500000000001,0.0015201800000000003
2023,13,mattcl-py,input-kcen,python,0.015440538294117637,0.0006041610015791335,0.015315562999999999,0.012426435614973266,0.0029105989304812835,0.014523861,0.019244891000000004
2023,13,pting,input-kcen,python,0.016946692219101132,0.0021422487103970283,0.016546820000000004,0.014124388988764041,0.0025703426966292133,0.015616466,0.043462567
2023,13,kcen,input-lanjian,python,0.02030827542068966,0.0028173035922253137,0.019891642,0.016882311034482757,0.0030762206896551717,0.018940011000000003,0.052876455
2023,13,lanjian,input-lanjian,rust,0.0010272348799999997,0.00023070318835149062,0.0009619860000000002,0.002239138600000001,0.0005319500000000001,0.0007036430000000002,0.0016553020000000004
2023,13,mattcl,input-lanjian,rust,0.0009415237100000004,0.0002009072767192108,0.0008882480000000001,0.002062941200000001,0.00056432,0.0006251570000000002,0.0014878900000000004
2023,13,mattcl-py,input-lanjian,python,0.015548852779569902,0.000794310850619076,0.015338771499999999,0.012483725161290322,0.0029297258064516127,0.014570789,0.020503175000000002
2023,13,pting,input-lanjian,python,0.01658375966853932,0.0005241660002378784,0.016462613,0.013625046292134829,0.0028352022471910105,0.015583384,0.019498737000000002
2023,13,kcen,input-mattcl,python,0.02026071545454546,0.0006604483646070149,0.020119288000000003,0.017783251328671337,0.0023686713286713286,0.019244952000000003,0.023500501000000003
2023,13,lanjian,input-mattcl,rust,0.0010619504300000003,0.00023601664701564516,0.0009957095000000002,0.002331369400000001,0.00051356,0.0007119290000000001,0.0017872200000000004
2023,13,mattcl,input-mattcl,rust,0.0009444546650000002,0.00020678366986300644,0.0008975510000000001,0.0021026286,0.0005419899999999998,0.0006240040000000002,0.0014861560000000002
2023,13,mattcl-py,input-mattcl,python,0.015696324579234974,0.0007184249186666099,0.015519394,0.012249317704918033,0.0033639344262295077,0.014832329,0.018557386000000002
2023,13,pting,input-mattcl,python,0.016880586783333342,0.000638457365537904,0.016714624000000004,0.013758002222222222,0.003004822222222221,0.015869409,0.019705232000000003
2023,13,kcen,input-pting,python,0.020384899066176465,0.0009681581977981906,0.0200397185,0.01720272705882352,0.0030770588235294115,0.019167988000000004,0.023491454000000002
2023,13,lanjian,input-pting,rust,0.00108035727,0.0002268022265844527,0.0010236315,0.002319750400000001,0.0005728899999999999,0.0006815510000000002,0.0016476190000000003
2023,13,mattcl,input-pting,rust,0.0009737503150000002,0.0002322194041445548,0.0009197615000000001,0.002058992800000001,0.0005789849999999999,0.0006385010000000002,0.0017004570000000003
2023,13,mattcl-py,input-pting,python,0.015653682580645152,0.0007521744649470969,0.015444288,0.012841192903225801,0.0027262365591397856,0.014463859,0.018812252
2023,13,pting,input-pting,python,0.016799581170454554,0.000639096638829666,0.016613906500000004,0.013864290227272731,0.00281578409090909,0.015896659,0.019621286
