year,day,participant,input,language,mean,stddev,median,user,system,min,max
2024,5,kcen,input-kcen,nim,0.0025339316750000013,0.00023892547312396708,0.0025727137799999994,0.0019081750000000007,0.0006972409,0.0015437867799999994,0.00314516678
2024,5,lanjian,input-kcen,rust,0.0013944775250000002,0.00021240820685074227,0.0013997272799999997,0.0011359806000000002,0.0003451135999999999,0.0006679467799999995,0.0020707647799999996
2024,5,mattcl,input-kcen,rust,0.001304221759999999,0.0002067845483748546,0.0013228532799999997,0.0009687805999999995,0.0004007681000000001,0.0005751527799999995,0.0020231247799999998
2024,5,mattcl-py,input-kcen,python,0.01750325632268292,0.0007842802296810393,0.017298213780000002,0.012968697073170735,0.004487588902439025,0.01649282078,0.020468818780000002
2024,5,mikofo,input-kcen,python,0.01850810550611465,0.0006727279014970303,0.01837117878,0.013466548789808916,0.0049612709554140155,0.01730832778,0.02144084878
2024,5,kcen,input-lanjian,nim,0.0023881281000000002,0.0003031829667037946,0.0024541722799999994,0.0019221449999999995,0.0005439338000000001,0.0015056357799999997,0.0031179857799999997
2024,5,lanjian,input-lanjian,rust,0.0013905681999999988,0.00019542836839690132,0.0013905347799999996,0.0010107499999999995,0.0004638183000000001,0.0003219877799999994,0.0021480287799999992
2024,5,mattcl,input-lanjian,rust,0.0012415300399999992,0.00021264548080251103,0.0012973102799999994,0.0009331324000000001,0.0004058383,0.0005185357799999996,0.00207072478
2024,5,mattcl-py,input-lanjian,python,0.01719885810121211,0.000589175484439618,0.01710587878,0.012261625454545453,0.004884344484848486,0.01623944578,0.02029704678
2024,5,mikofo,input-lanjian,python,0.018437836154233132,0.0008873648361993574,0.01821778178,0.01348566527607362,0.004882475705521469,0.01710625878,0.02162960178
2024,5,kcen,input-mattcl,nim,0.0025654206149999994,0.0003477520689928268,0.0025715262799999995,0.0020440756000000017,0.0005587046999999998,0.0015382267799999994,0.00489475478
2024,5,lanjian,input-mattcl,rust,0.0013957580699999988,0.00018610165493034974,0.0013875292799999995,0.0010346099999999994,0.00042814680000000013,0.0007426157799999996,0.0022829217799999997
2024,5,mattcl,input-mattcl,rust,0.0012938829899999996,0.00023505711674971544,0.0013041032799999996,0.0009574624000000002,0.0004217420000000002,0.0006235127799999996,0.002393688779999999
2024,5,mattcl-py,input-mattcl,python,0.017334120641445787,0.0007448481750474562,0.017150907780000002,0.013049084819277107,0.0042452620481927715,0.01627404078,0.02054333678
2024,5,mikofo,input-mattcl,python,0.01839179607655173,0.0005334599938173814,0.01833300778,0.01374353517241379,0.004595716827586205,0.01751769978,0.02150564078
2024,5,kcen,input-mikofo,nim,0.0023219676550000007,0.00033176258940524595,0.00239405428,0.0018578099999999997,0.0005297799,0.0014173697799999996,0.0031767157799999996
2024,5,lanjian,input-mikofo,rust,0.0013827571700000003,0.00017522907168210055,0.0013626727799999996,0.0010115050000000009,0.0004342731000000002,0.0007967567799999995,0.00215103478
2024,5,mattcl,input-mikofo,rust,0.001279898554999999,0.00022690730084908546,0.0013028052799999995,0.0009683755999999997,0.0004005307,0.00032842077999999954,0.00240905678
2024,5,mattcl-py,input-mikofo,python,0.017346950973750008,0.000606086708166357,0.01716396278,0.0133089925,0.004007321124999999,0.01654212278,0.02031849678
2024,5,mikofo,input-mikofo,python,0.01836390685643312,0.0006887141010857503,0.01820734178,0.013968669808917198,0.0043283136305732476,0.01730003178,0.02104232178
