year,day,participant,input,language,mean,stddev,median,user,system,min,max
2023,9,kcen,input-kcen,python,0.018167566082699392,0.0007680294768248315,0.01799913196,0.014752652760736194,0.003298684662576687,0.017229983960000004,0.021877385960000002
2023,9,lanjian,input-kcen,rust,0.0010604679600000003,0.00022608909392433696,0.0010007514600000004,0.0026838599999999997,0.000762048,0.0007263179600000004,0.0016457569600000005
2023,9,mattcl,input-kcen,rust,0.0009616548149999999,0.00017817760853372673,0.0010335924600000004,0.0008167740000000001,0.00016484500000000005,0.00032654996000000026,0.0015547869600000003
2023,9,mattcl-py,input-kcen,python,0.015499288885925925,0.0006025314125545352,0.01538193796,0.012214609523809523,0.003181591534391535,0.01417252496,0.017995304960000003
2023,9,mattcl-ts,input-kcen,typescript (bun),0.012623924064999993,0.0003159309461003358,0.012642203460000001,0.009986725,0.008689797499999997,0.01173683996,0.013305833960000001
2023,9,pting,input-kcen,python,0.016564621397500007,0.0006193992793589393,0.016458925960000002,0.01378719204545455,0.0026704363636363636,0.015345659960000002,0.019628217960000003
2023,9,kcen,input-lanjian,python,0.018085699953939396,0.0007701333192652309,0.017881560960000004,0.015262957575757562,0.002720004848484848,0.017011384960000004,0.021581731960000003
2023,9,lanjian,input-lanjian,rust,0.0010594256850000004,0.0002456353995296481,0.0009971849600000004,0.002772729999999999,0.0006417335000000002,0.0007306459600000002,0.0023335229600000007
2023,9,mattcl,input-lanjian,rust,0.0009858821400000003,0.00017241199054758493,0.0010382114600000002,0.000819768,0.00018025600000000003,0.00033061796000000024,0.0016372019600000005
2023,9,mattcl-py,input-lanjian,python,0.015537012075183236,0.0005874899512776532,0.01542265296,0.01245874240837696,0.002948015706806283,0.014536966960000001,0.01840197496
2023,9,mattcl-ts,input-lanjian,typescript (bun),0.012635280404999996,0.0003211551225423673,0.01262040246,0.009727448000000005,0.009015264,0.01164701196,0.01350193096
2023,9,pting,input-lanjian,python,0.016518044820465122,0.0006057139839029788,0.016366563960000004,0.013488044186046513,0.002913343604651163,0.01561976196,0.019645771960000002
2023,9,kcen,input-mattcl,python,0.018088903996809826,0.0005590507143466215,0.017999933960000002,0.015153934969325156,0.002808887116564416,0.017151717960000003,0.020696736960000003
2023,9,lanjian,input-mattcl,rust,0.0010684307299999999,0.00022962250875290297,0.0010071029600000002,0.0028270259999999985,0.0006285719999999999,0.0007151169600000002,0.0016362999600000004
2023,9,mattcl,input-mattcl,rust,0.0009729650250000007,0.00017182856863749645,0.0010406509600000002,0.0007811059999999995,0.00021088000000000001,0.00019970296000000024,0.0014012309600000003
2023,9,mattcl-py,input-mattcl,python,0.015441196025573777,0.0006569563651725948,0.01529476496,0.012288958469945353,0.0030326060109289615,0.014184927960000001,0.018465102960000004
2023,9,mattcl-ts,input-mattcl,typescript (bun),0.013369420605000008,0.005958940252835421,0.01266471546,0.009709717999999996,0.009016444000000002,0.011833761960000001,0.07427656496
2023,9,pting,input-mattcl,python,0.01682899073094972,0.0034578218137386184,0.016515657960000003,0.013587721787709492,0.0028907743016759768,0.01557352596,0.062332756960000006
2023,9,kcen,input-pting,python,0.01789654328926831,0.0007868790839780666,0.01774901946,0.014715214634146335,0.0030931792682926834,0.016837449960000004,0.020902922960000004
2023,9,lanjian,input-pting,rust,0.0011030813499999998,0.00025236689455237186,0.0010316534600000003,0.002588668999999999,0.0008485929999999998,0.0007115499600000003,0.0016557569600000005
2023,9,mattcl,input-pting,rust,0.000978189240000001,0.00018931284061566312,0.0010481049600000003,0.0008099179999999997,0.000184016,0.00018990496000000025,0.0014194739600000002
2023,9,mattcl-py,input-pting,python,0.01562525741502646,0.0007570559121242797,0.01544396296,0.012353810582010582,0.0031714698412698417,0.014162325960000001,0.01901950096
2023,9,mattcl-ts,input-pting,typescript (bun),0.012619149949999997,0.0003585106773871075,0.012650449460000001,0.009622280000000004,0.009055819000000003,0.01152144696,0.013712755960000001
2023,9,pting,input-pting,python,0.01649266020712643,0.0006312187153798913,0.016371502960000003,0.013318179310344824,0.00306329540229885,0.01526684296,0.020018258960000004
