year,day,participant,input,language,mean,stddev,median,user,system,min,max
2025,7,kcen,input-lanjian,nim,0.0009373084850000006,0.00013379468497938562,0.0009500230600000001,0.0008230025999999995,0.00024608729999999997,0.00053124956,0.00186353356
2025,7,lanjian,input-lanjian,rust,0.0006855697022,0.00017335754402107175,0.0007376610600000001,0.0006533554000000001,0.00019415050000000004,0.0,0.00131842256
2025,7,mattcl,input-lanjian,rust,0.0004293257764000001,0.00018347648279686836,0.00048037956,0.0004981214999999999,0.0001293016,0.0,0.00100899456
2025,7,mattcl-py,input-lanjian,python,0.01746737355386502,0.0006287527004611424,0.01734189556,0.012952478895705524,0.00443420944785276,0.01647555356,0.01990700956
2025,7,whyando,input-lanjian,rust,0.00041373181359999995,0.00015829781787860664,0.0004425030600000001,0.0004419725999999997,0.00018976689999999997,0.0,0.0009686275600000002
2025,7,kcen,input-mattcl,nim,0.0009363958699999994,0.0001774949689922837,0.0009594265600000001,0.0008474606999999997,0.00021736199999999997,0.00035950756000000005,0.00163989556
2025,7,lanjian,input-mattcl,rust,0.0007298544193999999,0.0001549785368805998,0.0007552385600000001,0.0006976658999999997,0.00019514700000000006,0.0,0.00132571756
2025,7,mattcl,input-mattcl,rust,0.00044953118819999994,0.00016861297812382868,0.00049179056,0.0005121372000000001,0.00014166169999999998,0.0,0.0009860905600000002
2025,7,mattcl-py,input-mattcl,python,0.017420233831604938,0.000662989843237914,0.01730792656,0.012956823703703695,0.00439465320987654,0.01638394156,0.02064885756
2025,7,whyando,input-mattcl,rust,0.00039938660260000007,0.0001601184749509614,0.00042974956000000003,0.0004767202999999998,0.0001368382,0.0,0.0009672055600000001
2025,7,kcen,input-whyando,nim,0.000981348555,0.00016156833320250021,0.0009955880600000001,0.0008140718999999996,0.00024681559999999993,0.00032369056,0.00162569856
2025,7,lanjian,input-whyando,rust,0.0007486202600000002,0.0001408621216038709,0.0007717495600000001,0.0006885714000000004,0.0002078904,3.8556000000002956e-7,0.00115153056
2025,7,mattcl,input-whyando,rust,0.00044277253259999977,0.00016847105941199337,0.00048510756000000007,0.0004817702999999999,0.00015274180000000002,0.0,0.00087401056
2025,7,mattcl-py,input-whyando,python,0.017410067441987583,0.0005791446634530139,0.01731074756,0.013196992670807456,0.004152617639751552,0.01645786056,0.02030086556
2025,7,whyando,input-whyando,rust,0.0004380215465999996,0.00013057082705636528,0.00046250106,0.00047995359999999996,0.0001700135,0.0,0.00063626656
