year,day,participant,input,language,mean,stddev,median,user,system,min,max
2025,2,kcen,input-lanjian,nim,0.0008063443949999996,0.00013313012997970386,0.0008364650799999998,0.0007215629999999998,0.0002369054999999999,0.00004914957999999981,0.0012411935799999997
2025,2,lanjian,input-lanjian,rust,0.0008910391749999998,0.00018092906633661207,0.0009042920799999998,0.0007449570999999989,0.0002445303,0.00021150357999999978,0.0015567855799999996
2025,2,mattcl,input-lanjian,rust,0.000754285225,0.00021998707919629182,0.0007753195799999998,0.0006585431000000002,0.0002139269999999999,0.00017523557999999967,0.00257082558
2025,2,mattcl-py,input-lanjian,python,0.0206614559972662,0.0006253256829090348,0.02071184158,0.015382875251798564,0.005224774244604316,0.01924879858,0.02403155358
2025,2,whyando,input-lanjian,rust,0.0003906401422999998,0.000162000131247004,0.00043419057999999973,0.0004317137999999998,0.00017264479999999998,0.0,0.0009292685799999998
2025,2,kcen,input-mattcl,nim,0.0008299636500000007,0.00014558766611284772,0.0008378570799999998,0.0007238971000000003,0.0002463716,0.0001795535799999998,0.00128173958
2025,2,lanjian,input-mattcl,rust,0.0008378657270999998,0.00014773144194868683,0.0008693415799999998,0.0007281215000000001,0.0002516828999999999,0.0,0.0012671315799999998
2025,2,mattcl,input-mattcl,rust,0.000728049375,0.00017243160105163174,0.0007527225799999998,0.0006074058,0.00024730899999999997,0.00013501957999999985,0.0013041905799999996
2025,2,mattcl-py,input-mattcl,python,0.020725625181449277,0.0005484846976358142,0.020692604080000003,0.016289171884057978,0.004342137391304349,0.01956963858,0.02432891058
2025,2,whyando,input-mattcl,rust,0.0004306582746999998,0.00014443872399396012,0.00045411257999999975,0.00045623879999999965,0.00018872719999999998,0.0,0.00102088058
2025,2,kcen,input-whyando,nim,0.000844251385,0.00019642259504624326,0.0008514375799999998,0.0007240276999999997,0.0002300718,0.00020933957999999975,0.0015228515799999998
2025,2,lanjian,input-whyando,rust,0.0008252492249999995,0.00015859073703484465,0.0008672025799999997,0.0007140665,0.00025643530000000006,0.0001850435799999997,0.0012848645799999996
2025,2,mattcl,input-whyando,rust,0.0007769117299999997,0.0001964727221812331,0.0007779605799999998,0.0006647246000000001,0.00021471070000000003,0.00011849857999999983,0.0015053385799999996
2025,2,mattcl-py,input-whyando,python,0.020598403340563377,0.0007802967584338736,0.02044649808,0.01554526394366197,0.004965139999999997,0.01949417758,0.024116993580000003
2025,2,whyando,input-whyando,rust,0.0003953339214999997,0.00015812899394267066,0.00043564357999999984,0.00044603849999999985,0.00016270870000000004,0.0,0.0008602695799999998
