year,day,participant,input,language,mean,stddev,median,user,system,min,max
2024,7,kcen,input-kcen,nim,0.22779438500000004,0.003884170338486523,0.227789415,0.22578267692307696,0.0019982092307692305,0.221191562,0.23392447400000002
2024,7,lanjian,input-kcen,rust,0.005041501695000001,0.0002401468471346555,0.0050229820000000005,0.04706606999999999,0.004713351199999999,0.004443272,0.005753715
2024,7,mattcl,input-kcen,rust,0.0014436376299999999,0.00021386707891426322,0.0014407195,0.0033110059999999996,0.0015243665999999996,0.001016515,0.002730885
2024,7,mattcl-py,input-kcen,python,0.047961010049180346,0.0006625260905948139,0.04796301100000001,0.05880866557377048,0.03672586459016392,0.04661325300000001,0.049754716000000004
2024,7,mikofo,input-kcen,python,0.6856798772499999,0.009868056758725497,0.6815422495,8.829263849999998,0.08994658999999999,0.679259641,0.700375369
2024,7,kcen,input-lanjian,nim,0.366220217625,0.0008110129863032763,0.3665145510000001,0.36387234999999996,0.0023549625,0.36457405800000003,0.36701283500000004
2024,7,lanjian,input-lanjian,rust,0.00630870047,0.00024128117005130286,0.006287244500000001,0.06929129,0.0037369838000000004,0.005824409,0.007020918000000001
2024,7,mattcl,input-lanjian,rust,0.0014392458050000003,0.00018546540156952102,0.001433847,0.003158374999999997,0.001771239999999999,0.0010860660000000001,0.002500965
2024,7,mattcl-py,input-lanjian,python,0.0485123141967213,0.0005800303809269774,0.048506538,0.06176686229508199,0.03604847114754099,0.04736486,0.050059607000000006
2024,7,mikofo,input-lanjian,python,0.9919373923333333,0.014350250152229732,0.988323085,13.630705599999999,0.07625500666666667,0.9797398230000001,1.007749269
2024,7,kcen,input-mattcl,nim,0.17522516894117643,0.0017208594195532207,0.175278932,0.17416001176470589,0.0010889447058823527,0.171958455,0.178612865
2024,7,lanjian,input-mattcl,rust,0.003940216355000001,0.00025256667976796557,0.0038840595,0.02738869900000002,0.009930264499999997,0.0035492279999999998,0.0051551850000000005
2024,7,mattcl,input-mattcl,rust,0.001443094775,0.00018377318444881083,0.001431016,0.003123736,0.0019862232999999997,0.001061139,0.002508158
2024,7,mattcl-py,input-mattcl,python,0.04847625985245902,0.0006636434556906253,0.04828980200000001,0.06014069836065571,0.03476078262295082,0.047113390000000005,0.050894520000000006
2024,7,mikofo,input-mattcl,python,0.5351460448,0.013563548958122477,0.538691944,5.821515,0.09716353999999999,0.515072468,0.548239552
2024,7,kcen,input-mikofo,nim,0.2149349953846154,0.0019378698743449999,0.214260052,0.2143612153846154,0.000666616923076923,0.21204783900000002,0.219176278
2024,7,lanjian,input-mikofo,rust,0.004779062199999998,0.00027734210441872505,0.004784701000000001,0.038466834000000005,0.008668469699999997,0.003905194,0.005572055
2024,7,mattcl,input-mikofo,rust,0.001428618325,0.00015487856113947,0.0014437605,0.0037854009999999994,0.0011749097000000003,0.001083391,0.001959261
2024,7,mattcl-py,input-mikofo,python,0.04842567719672133,0.0006595499325559778,0.048373950000000006,0.05873076393442623,0.03562609409836064,0.047115484000000006,0.05149114700000001
2024,7,mikofo,input-mikofo,python,0.5834359262,0.01400766359096968,0.587255236,7.3613168,0.08553374,0.567084066,0.597565511
