year,day,participant,input,language,mean,stddev,median,user,system,min,max
2024,8,kcen,input-kcen,nim,0.0014072593849999992,0.00016903226953681537,0.0014184817199999998,0.0009714824999999999,0.0004795793999999999,0.0005930607199999999,0.00189908672
2024,8,lanjian,input-kcen,rust,0.0014060174399999994,0.00013769748651688214,0.00142035022,0.0010401000000000004,0.0004199971999999998,0.0005065197199999998,0.00170016372
2024,8,mattcl,input-kcen,rust,0.0012674542050000002,0.00021717615453509858,0.0012945642199999998,0.0009541100000000002,0.0003789021999999998,0.0005961757199999998,0.00204880672
2024,8,mattcl-py,input-kcen,python,0.016392715298947372,0.0007113601376643767,0.01618493672,0.011115728070175445,0.005192050058479533,0.015179022720000001,0.01936992972
2024,8,kcen,input-lanjian,nim,0.0014167459699999999,0.00012532558659750025,0.0014155507199999997,0.0011108600000000008,0.0003796916,0.00043656771999999995,0.00200317172
2024,8,lanjian,input-lanjian,rust,0.0014107139299999994,0.00016154999834304886,0.00140469572,0.0009563575000000002,0.00047904179999999993,0.00077408072,0.00182896472
2024,8,mattcl,input-lanjian,rust,0.0012740299049999995,0.00023303336463279494,0.00130441772,0.0009651200000000003,0.0003660655999999999,0.00059059572,0.00260721272
2024,8,mattcl-py,input-lanjian,python,0.016498299967126432,0.0006987431962471632,0.01636396722,0.011508706896551727,0.004914639540229889,0.01531903472,0.01983206672
2024,8,kcen,input-mattcl,nim,0.001472992635,0.0002241870530907289,0.00143460122,0.0010388325000000003,0.0004886252000000001,0.0007712737199999999,0.00240991272
2024,8,lanjian,input-mattcl,rust,0.0013776673749999998,0.000181492412415777,0.0014152357199999999,0.0010810425000000003,0.00036839419999999993,0.0006104637199999999,0.00167982572
2024,8,mattcl,input-mattcl,rust,0.001246572975,0.00024314451056544644,0.0012952662199999998,0.0009479425000000001,0.00036024479999999996,0.00047085171999999983,0.00202537272
2024,8,mattcl-py,input-mattcl,python,0.01661298959647058,0.0007119024099077012,0.016449646720000002,0.011973741176470588,0.004554719529411762,0.01575996972,0.02038716472
