year,day,participant,input,language,mean,stddev,median,user,system,min,max
2024,2,kcen,input-kcen,nim,0.0014390156599999998,0.0003131571569290202,0.0014312159800000002,0.0012745618,0.00029712699999999995,0.00047060647999999997,0.00260265048
2024,2,lanjian,input-kcen,rust,0.001323915705,0.00026726594318184045,0.0013930849800000001,0.0010730104000000002,0.0003684592,0.0003961974800000001,0.00224835748
2024,2,mattcl,input-kcen,rust,0.0013500396249999998,0.0002007421171646666,0.00137337298,0.0010329386,0.00037661140000000003,0.00069082948,0.0020878464800000002
2024,2,mattcl-py,input-kcen,python,0.019043985858205128,0.000699245735410178,0.018881685480000004,0.014504634102564104,0.004468789487179484,0.01756926648,0.022462804480000004
2024,2,mikofo,input-kcen,python,0.018137540429685527,0.000516241025940977,0.018048665480000003,0.013708461509433964,0.004368685283018869,0.016952641480000002,0.020538038480000003
2024,2,kcen,input-lanjian,nim,0.0016737144049999994,0.00033181145048691513,0.0015541514800000002,0.0013638358999999997,0.00038660459999999996,0.00106668348,0.00264728448
2024,2,lanjian,input-lanjian,rust,0.0013861129000000008,0.00014748417038177217,0.0013957499800000002,0.0009288426999999994,0.0005278149999999998,0.00070599848,0.00183582448
2024,2,mattcl,input-lanjian,rust,0.0013632150949999993,0.00016120487889828225,0.0013778414800000001,0.0011302108999999999,0.000329909,0.00066443948,0.0020958614800000003
2024,2,mattcl-py,input-lanjian,python,0.01884296672836601,0.0005947310189161844,0.018747153480000004,0.01359882,0.005158682875816992,0.017535112480000004,0.021348296480000004
2024,2,mikofo,input-lanjian,python,0.018395186093924064,0.0007210882059059303,0.018272914980000002,0.014110725063291134,0.00420243088607595,0.01735974448,0.021956966480000003
2024,2,kcen,input-mattcl,nim,0.0017157031500000003,0.00036678565395367106,0.0015564604800000002,0.0013661849999999998,0.00041851120000000006,0.0010845374800000003,0.00290437648
2024,2,lanjian,input-mattcl,rust,0.0014063514900000003,0.00017221617419844063,0.0014088344800000001,0.0010382799999999993,0.00040640699999999996,0.00072136648,0.00201670348
2024,2,mattcl,input-mattcl,rust,0.0013059597100000004,0.00022374396752070577,0.00134451848,0.0010300168000000002,0.00037380119999999995,0.0006892864800000001,0.0026052764800000004
2024,2,mattcl-py,input-mattcl,python,0.01858769259038961,0.0007587519590596845,0.01841184548,0.013936703116883118,0.0045520080519480515,0.01743005648,0.02147817948
2024,2,mikofo,input-mattcl,python,0.018934550233246764,0.0005902811226344991,0.018833279980000003,0.014509209610389612,0.004371485974025974,0.01791037548,0.021507585480000004
2024,2,kcen,input-mikofo,nim,0.0017089162799999995,0.000344784917738406,0.0015636344800000002,0.0014296750000000003,0.0003549776,0.0009064524800000001,0.0027230664800000004
2024,2,lanjian,input-mikofo,rust,0.001392354535,0.0001393535635395011,0.0013909464800000001,0.0011348800000000002,0.0003317536,0.0003790954800000001,0.00226152148
2024,2,mattcl,input-mikofo,rust,0.0013818271450000003,0.00016771560069868695,0.0013832464800000001,0.0010620399999999996,0.00037104659999999997,0.0008223654800000001,0.0023459394800000003
2024,2,mattcl-py,input-mikofo,python,0.01832111359038962,0.0005817749649174503,0.01824373048,0.014190125194805196,0.004070743636363636,0.017347512480000004,0.021525899480000003
2024,2,mikofo,input-mikofo,python,0.01913413641959732,0.0005106835316337792,0.019071160480000002,0.014676289798657715,0.004388924832214767,0.018129396480000004,0.022014634480000003
