year,day,participant,input,language,mean,stddev,median,user,system,min,max
2024,3,kcen,input-kcen,nim,0.0014339047150000006,0.0002070965601005099,0.00142527458,0.001001235000000001,0.000455644,0.00080889058,0.00216594958
2024,3,lanjian,input-kcen,rust,0.001897405729999999,0.0003726452540620266,0.0017158580800000001,0.0012405026999999997,0.0006773176999999997,0.00119625558,0.00295539758
2024,3,mattcl,input-kcen,rust,0.0012637640150000005,0.00021639934996768814,0.00130810008,0.0009229234999999995,0.0004152701,0.0005123155799999999,0.0020098885800000003
2024,3,mattcl-py,input-kcen,python,0.0170461656564706,0.0007277630268959677,0.016899673580000003,0.012478877647058819,0.004483834235294117,0.016228788580000004,0.020429961580000003
2024,3,mikofo,input-kcen,python,0.01957616164081081,0.0006349298636279135,0.019438991080000002,0.013649257297297296,0.005821758513513511,0.01846463258,0.02272984558
2024,3,kcen,input-lanjian,nim,0.001433699844999999,0.0001433878180474437,0.00142944658,0.0009658049999999995,0.0005085483999999999,0.0007926905799999999,0.0018874295800000002
2024,3,lanjian,input-lanjian,rust,0.0019247887200000001,0.00033413166020298103,0.0018473835800000003,0.0013899750000000005,0.0005691418000000001,0.0011074995800000004,0.0028656405800000003
2024,3,mattcl,input-lanjian,rust,0.0013063611950000001,0.00023451034963934238,0.0013269150800000002,0.0009862654,0.00038894130000000006,0.00015170058000000001,0.00223873658
2024,3,mattcl-py,input-lanjian,python,0.0169555287682353,0.0006592442966197859,0.016849309580000003,0.011903574941176468,0.004974711294117649,0.01588688858,0.019982083580000004
2024,3,mikofo,input-lanjian,python,0.01970227332324325,0.00077680514373192,0.01951855508,0.014269311351351349,0.005336306756756756,0.018454463580000004,0.02276772658
2024,3,kcen,input-mattcl,nim,0.0014511346450000002,0.00020215489292373264,0.00142688208,0.0008829799999999991,0.0005813876999999999,0.0007808185799999999,0.0025787825800000002
2024,3,lanjian,input-mattcl,rust,0.0019259173050000008,0.0003461668318843874,0.0018424255800000003,0.0013383800000000003,0.0006103195,0.0010688375800000003,0.0027828955800000004
2024,3,mattcl,input-mattcl,rust,0.0013115933500000012,0.000236707262401548,0.0013411110800000002,0.0010318730999999998,0.00031881309999999996,0.0004512215800000001,0.00205456158
2024,3,mattcl-py,input-mattcl,python,0.01700981061529411,0.0006366227442090112,0.01690085658,0.012157524705882354,0.004774919176470589,0.015632822580000004,0.020060769580000002
2024,3,mikofo,input-mattcl,python,0.01961165473068493,0.0005766569438199906,0.019507579580000003,0.014022288767123288,0.00550338931506849,0.018806202580000004,0.022389147580000004
2024,3,kcen,input-mikofo,nim,0.0014351985550000008,0.0001424282152061114,0.00142584558,0.0010657076999999997,0.0004233812999999999,0.00084770358,0.00226032758
2024,3,lanjian,input-mikofo,rust,0.00197839586,0.0003658617113516766,0.0019098760800000004,0.0014043749999999996,0.0005998494999999999,0.0009424705800000001,0.0026907825800000004
2024,3,mattcl,input-mikofo,rust,0.001268166805,0.00020476610074920742,0.0012983115800000002,0.000997117699999999,0.0003727741,0.00047158857999999996,0.0020142165800000004
2024,3,mattcl-py,input-mikofo,python,0.016897769963233545,0.0006363736364337293,0.016789768580000003,0.011871903113772456,0.004921837844311376,0.015642281580000004,0.020118988580000004
2024,3,mikofo,input-mikofo,python,0.019739639336578962,0.0007719993664512981,0.019572605580000003,0.01420060473684211,0.005437017894736841,0.018331272580000002,0.022627072580000004
