year,day,participant,input,language,mean,stddev,median,user,system,min,max
2023,12,kcen,input-kcen,python,0.24709175614333334,0.0040099386566031965,0.24746671006,2.7610237266666666,0.07040181333333333,0.24110383956,0.25200889456000003
2023,12,lanjian,input-kcen,rust,0.002181455894999999,0.00020712324784997546,0.0021862595600000002,0.013906878199999993,0.0032116018999999983,0.00184065856,0.00268366456
2023,12,mattcl,input-kcen,rust,0.0027192078549999987,0.00022518689469946948,0.00270054106,0.008892318599999999,0.0067012882,0.00217753856,0.00424676856
2023,12,mattcl-py,input-kcen,python,0.09870374775354838,0.006892713403768306,0.09683908856000001,0.6964236890322582,0.05041336709677419,0.09479640956,0.13460455956
2023,12,pting,input-kcen,python,0.07880874892585364,0.025282568164631154,0.07057700156,0.3669956819512195,0.038024833658536594,0.06852165756,0.16835228556
2023,12,kcen,input-lanjian,python,0.29324591796000005,0.0037672071431686157,0.29397189156000003,3.25219826,0.07893348,0.28656466356000004,0.29880902356
2023,12,lanjian,input-lanjian,rust,0.002226824555,0.00017005433478677883,0.0022439680599999996,0.0136665842,0.003992811400000001,0.00190123156,0.0026083745599999996
2023,12,mattcl,input-lanjian,rust,0.0027964244250000014,0.0004891848814667775,0.00270872156,0.0084496496,0.007068062799999998,0.00219425956,0.007567739560000001
2023,12,mattcl-py,input-lanjian,python,0.09860311411172415,0.0018429839553293448,0.09811886356,0.6968302496551724,0.06240077310344825,0.09562568056000001,0.10277839656000001
2023,12,pting,input-lanjian,python,0.08719982586952382,0.026432098635444077,0.07389651056,0.3778576314285715,0.04036617047619047,0.06948983956,0.17388205956000002
2023,12,kcen,input-mattcl,python,0.30324340646000003,0.00781813864339645,0.30276795256,3.2214602599999997,0.07080518,0.29020844856,0.31901493556000005
2023,12,lanjian,input-mattcl,rust,0.0038266327400000018,0.0008718848773112927,0.0036242445599999995,0.011517976599999993,0.006442514600000001,0.00274583156,0.01138924556
2023,12,mattcl,input-mattcl,rust,0.005478360334999998,0.0015284858534152937,0.00491974256,0.008801516999999998,0.0054882538999999975,0.00330922556,0.00955750156
2023,12,mattcl-py,input-mattcl,python,0.12988094622666665,0.03487237435004053,0.11377514356000001,0.7414247980952382,0.05309931333333333,0.10612096856000001,0.23965468056000003
2023,12,pting,input-mattcl,python,0.08099093220102563,0.0038656678241304906,0.08092702956,0.3843508676923077,0.03756508256410256,0.07428935656,0.08866015356000001
2023,12,kcen,input-pting,python,0.29058537646,0.008590645227402504,0.29306967556,2.9804688599999998,0.06673928,0.27678254956000004,0.30056127156
2023,12,lanjian,input-pting,rust,0.002675204940000001,0.0004971088528369416,0.0026174360599999997,0.01443832519999999,0.0045809770999999996,0.0021128775599999995,0.007426445560000001
2023,12,mattcl,input-pting,rust,0.0033212452650000007,0.0008194173611989861,0.00311012306,0.009338833799999995,0.005694219599999999,0.0025058825599999996,0.010026347560000001
2023,12,mattcl-py,input-pting,python,0.1260704050414815,0.0342318986090062,0.11449111356000001,0.766819522962963,0.05447816518518519,0.09941873456000001,0.24751133556000002
2023,12,pting,input-pting,python,0.07178139153500003,0.001282318524781407,0.07173998356000001,0.38471005999999996,0.034516929999999994,0.06948954956,0.07540501256000001
