year,day,participant,input,language,mean,stddev,median,user,system,min,max
2023,21,lanjian,input-lanjian,rust,0.0037794469100000004,0.000493409597210258,0.00375466604,0.003118259,0.0005574794,0.00294801204,0.00765991704
2023,21,mattcl,input-lanjian,rust,0.0014384234000000009,0.000245234803431509,0.0013985775400000003,0.0041042365,0.0009169918000000002,0.00100974504,0.0023948360400000003
2023,21,mattcl-py,input-lanjian,python,0.2074618901114286,0.002930740361455744,0.20685743004,0.19693417142857145,0.010430774285714284,0.20366391404000003,0.21326425504000002
2023,21,lanjian,input-mattcl,rust,0.003672298285,0.0004550515277751824,0.0036432770400000006,0.003003109000000001,0.0005894889999999998,0.0028016780400000004,0.005562102040000001
2023,21,mattcl,input-mattcl,rust,0.0014363127150000007,0.0002495351382591829,0.0014068780400000001,0.004142131499999999,0.0007843846,0.0010195740400000001,0.00233813004
2023,21,mattcl-py,input-mattcl,python,0.21212596688615387,0.0026081033571035204,0.21280052804000002,0.20235863846153845,0.009665363076923079,0.20851646204000002,0.21689079104000003
